recipe_id,r_idx
12354,1115
12357,1116
12360,1117
12361,1118
12362,1119
12365,1120
12367,1121
12369,1122
12370,1123
12374,1124
12375,1125
12376,1126
12380,1127
12385,1128
12395,1129
12396,1130
12399,1131
12404,1132
12406,1133
12420,1134
12423,1135
12424,1136
12429,1137
12435,1138
12436,1139
12444,1140
12447,1141
12450,1142
12455,1143
12460,1144
12466,1145
12469,1146
12472,1147
12489,1148
12498,1149
12501,1150
12522,1151
12539,1152
12542,1153
12561,1154
12563,1155
12564,1156
12568,1157
12572,1158
12584,1159
12586,1160
12591,1161
12592,1162
12593,1163
12619,1164
12624,1165
12630,1166
12648,1167
12650,1168
12652,1169
12656,1170
12659,1171
12660,1172
12662,1173
12668,1174
12677,1175
12678,1176
12683,1177
12684,1178
12687,1179
12696,1180
12697,1181
12709,1182
12711,1183
12713,1184
12716,1185
12718,1186
12739,1187
12744,1188
12752,1189
12755,1190
12756,1191
12757,1192
12761,1193
12765,1194
12775,1195
12782,1196
12784,1197
12787,1198
12792,1199
12794,1200
12802,1201
12808,1202
12809,1203
12832,1204
12836,1205
12837,1206
12847,1207
12849,1208
12851,1209
12853,1210
12867,1211
12877,1212
12881,1213
12885,1214
12890,1215
12891,1216
12898,1217
12910,1218
12916,1219
12918,1220
12919,1221
12920,1222
12933,1223
12957,1224
12960,1225
12975,1226
12977,1227
13005,1228
13012,1229
13055,1230
13056,1231
13070,1232
13085,1233
13088,1234
13089,1235
13098,1236
13105,1237
13123,1238
13126,1239
13142,1240
13147,1241
13148,1242
13158,1243
13161,1244
13162,1245
13168,1246
13178,1247
13181,1248
13187,1249
13188,1250
13210,1251
13211,1252
13214,1253
13216,1254
13221,1255
13224,1256
13234,1257
13251,1258
13253,1259
13264,1260
13267,1261
13269,1262
13275,1263
13285,1264
13293,1265
13298,1266
13303,1267
13307,1268
13320,1269
13334,1270
13335,1271
13347,1272
13349,1273
13352,1274
13354,1275
13366,1276
13367,1277
13368,1278
13373,1279
13379,1280
13385,1281
13388,1282
13389,1283
13395,1284
13398,1285
13404,1286
13405,1287
13418,1288
13432,1289
13445,1290
13451,1291
13452,1292
13462,1293
13464,1294
13467,1295
13473,1296
13479,1297
13483,1298
13499,1299
13511,1300
13512,1301
13525,1302
13526,1303
13532,1304
13546,1305
13564,1306
13573,1307
13577,1308
13580,1309
13590,1310
13592,1311
13596,1312
13606,1313
13608,1314
13610,1315
13613,1316
13619,1317
13625,1318
13626,1319
13631,1320
13632,1321
13640,1322
13641,1323
13652,1324
13656,1325
13661,1326
13666,1327
13668,1328
13669,1329
13674,1330
13680,1331
13685,1332
13700,1333
13704,1334
13707,1335
13716,1336
13729,1337
13745,1338
13749,1339
13750,1340
13758,1341
13766,1342
13782,1343
13800,1344
13801,1345
13813,1346
13817,1347
13820,1348
13835,1349
13840,1350
13844,1351
13849,1352
13858,1353
13864,1354
13868,1355
13892,1356
13906,1357
13909,1358
13916,1359
13921,1360
13923,1361
13940,1362
13949,1363
13954,1364
13961,1365
13969,1366
13972,1367
13981,1368
13982,1369
13994,1370
14004,1371
14005,1372
14019,1373
14023,1374
14026,1375
14027,1376
14031,1377
14047,1378
14049,1379
14052,1380
14053,1381
14055,1382
14059,1383
14070,1384
14086,1385
14099,1386
14105,1387
14106,1388
14110,1389
14111,1390
14114,1391
14123,1392
14125,1393
14127,1394
14128,1395
14130,1396
14134,1397
14137,1398
14159,1399
14170,1400
14172,1401
14174,1402
14178,1403
14186,1404
14187,1405
14197,1406
14200,1407
14201,1408
14208,1409
14211,1410
14220,1411
14221,1412
14242,1413
14243,1414
14248,1415
14255,1416
14257,1417
14258,1418
14259,1419
14260,1420
14267,1421
14286,1422
14289,1423
14295,1424
14296,1425
14300,1426
14301,1427
14310,1428
14315,1429
14318,1430
14319,1431
14325,1432
14329,1433
14331,1434
14337,1435
14347,1436
14354,1437
14357,1438
14358,1439
14359,1440
14361,1441
14367,1442
14370,1443
14378,1444
14381,1445
14384,1446
14396,1447
14405,1448
14406,1449
14410,1450
14412,1451
14424,1452
14433,1453
14445,1454
14453,1455
14457,1456
14461,1457
14462,1458
14464,1459
14468,1460
14470,1461
14471,1462
14478,1463
14484,1464
14493,1465
14494,1466
14495,1467
14499,1468
14501,1469
14503,1470
14517,1471
14519,1472
14520,1473
14522,1474
14526,1475
14531,1476
14533,1477
14537,1478
14539,1479
14549,1480
14556,1481
14561,1482
14569,1483
14577,1484
14578,1485
